1031      Labrador                 Canada                                                                                                                                                                                                                                                    
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1033      Bulldog                  Francia                                                                                                                                                                                                                                                   
1034      Beagle                   Estados Unidos                                                                                                                                                                                                                                            
1035      Dalmata                  Croacia                                                                                                                                                                                                                                                   
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1033      Bulldog                  Francia                                                                                                                                                                                                                                                   
1034      Beagle                   Estados Unidos                                                                                                                                                                                                                                            
1035      Dalmata                  Croacia                                                                                                                                                                                                                                                   
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1033      Bulldog                  Francia                                                                                                                                                                                                                                                   
1034      Beagle                   Estados Unidos                                                                                                                                                                                                                                            
1035      Dalmata                  Croacia                                                                                                                                                                                                                                                   
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1033      Bulldog                  Francia                                                                                                                                                                                                                                                   
1034      Beagle                   Estados Unidos                                                                                                                                                                                                                                            
1035      Dalmata                  Croacia                                                                                                                                                                                                                                                   
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1033      Bulldog                  Francia                                                                                                                                                                                                                                                   
1034      Beagle                   Estados Unidos                                                                                                                                                                                                                                            
1035      Dalmata                  Croacia                                                                                                                                                                                                                                                   
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
1032      Golden Retriever         Reino Unido                                                                                                                                                                                                                                               
